,PROCESS_ID,DATET_STOP
4504,CP4,2022-10-27 14
4505,CP4,2022-10-27 17
4506,CP4,2022-10-27 19
4507,CP4,2022-10-27 21
4508,CP4,2022-10-27 23
4509,CP4,2022-10-28 01
4510,CP4,2022-10-28 03
4511,CP4,2022-10-28 09
4512,CP4,2022-10-28 11
4513,CP4,2022-10-28 13
4514,CP4,2022-10-28 15
4515,CP4,2022-10-28 17
4516,CP4,2022-10-28 20
20510,CP4,2022-12-12 01
20511,CP4,2022-12-12 03
20512,CP4,2022-12-12 06
20513,CP4,2022-12-12 09
20514,CP4,2022-12-12 11
20515,CP4,2022-12-12 14
20516,CP4,2022-12-12 19
20517,CP4,2022-12-12 21
20518,CP4,2022-12-12 23
20519,CP4,2022-12-13 01
20520,CP4,2022-12-13 03
20521,CP4,2022-12-13 05
20522,CP4,2022-12-13 08
20523,CP4,2022-12-13 10
20524,CP4,2022-12-13 12
15944,CP4,2022-12-27 00
15945,CP4,2022-12-27 02
15946,CP4,2022-12-27 05
15947,CP4,2022-12-27 08
417,CP4,2022-12-27 13
418,CP4,2022-12-27 15
419,CP4,2022-12-27 17
420,CP4,2022-12-27 19
421,CP4,2022-12-27 21
422,CP4,2022-12-28 00
523,CP4,2022-12-28 21
524,CP4,2022-12-28 23
525,CP4,2022-12-29 01
526,CP4,2022-12-29 03
527,CP4,2022-12-29 05
528,CP4,2022-12-29 07
529,CP4,2022-12-29 09
530,CP4,2022-12-29 11
531,CP4,2022-12-29 13
532,CP4,2022-12-29 16
533,CP4,2022-12-29 18
534,CP4,2022-12-29 20
535,CP4,2022-12-29 22
536,CP4,2022-12-30 00
537,CP4,2022-12-30 02
538,CP4,2022-12-30 04
539,CP4,2022-12-30 06
540,CP4,2022-12-30 08
541,CP4,2022-12-30 10
542,CP4,2022-12-30 12
543,CP4,2022-12-30 14
544,CP4,2022-12-30 16
545,CP4,2022-12-30 21
546,CP4,2022-12-30 23
547,CP4,2022-12-31 01
548,CP4,2022-12-31 03
549,CP4,2022-12-31 05
